鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
湖西鄉,土地,湖東新段1481地號,3284.12,,一般農業區,農牧用地,1070402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,61.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPTNMLSKMHNFFAX97DA,0.0,0.0,0.0,,,107_02
馬公市,土地,埕東段193地號,62.16,,,,1070413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3232320,52000.0,,0.0,0,協議價購,RPPNMLTKMHNFFAX57CA,0.0,0.0,0.0,,,107_02
馬公市,土地,安宅段101-4地號,208.68,,一般農業區,甲種建築用地,1070403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,52712.0,,0.0,0,農變建專案核准變更起造人交易總價包括興建中房屋建築費用。,RPPNMLQJNHNFFAX27CA,0.0,0.0,0.0,,,107_02
西嶼鄉,土地,池西段15地號,1018.67,,一般農業區,農牧用地,1070404,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,2160.0,,0.0,0,,RPPNMLOKNHNFFAX17CA,0.0,0.0,0.0,,,107_02
湖西鄉,土地,湖西北段571地號,215.72,,一般農業區,農牧用地,1070410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6600000,30595.0,,0.0,0,變更起造人含未來興建房屋之費用,RPUNMLOJNHNFFAX57CA,0.0,0.0,0.0,,,107_02
馬公市,土地,山水北段288-1地號,198.88,,一般農業區,交通用地,1070416,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1034176,5200.0,,0.0,0,協議價購交通用地5200元/M2,RPQNMLNLMHNFFAX17CA,0.0,0.0,0.0,,,107_02
馬公市,土地,四維段587-4地號,204.3,,一般農業區,農牧用地,1070410,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4300000,21047.0,,0.0,0,,RPPNMLTLMHNFFAX77DA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市中華路４５號,40.0,商,,,1070413,土地1建物1車位0,全,三層,透天厝,其他,鋼筋混凝土造,720224.0,126.09,3,2,3,有,無,7800000,61861.0,,0.0,0,,RPPNMLKLMHNFFAX76CA,126.09,0.0,0.0,,,107_02
馬公市,土地,埕東段235地號,24.33,,,,1070414,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,18496.0,,0.0,0,賣方賣清價包含公共設施保留地之交易。,RPPNMLOLMHNFFAX17CA,0.0,0.0,0.0,,,107_02
馬公市,土地,海堤段25地號,288.7,,一般農業區,農牧用地,1070402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,5888.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPRNMLOKNHNFFAX37CA,0.0,0.0,0.0,,,107_02
馬公市,土地,五福段889-4地號,179.18,,一般農業區,甲種建築用地,1070415,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,58600.0,,0.0,0,農變建之起造人變更含未來興建房屋價款,RPPNMLPJNHNFFAX17CA,0.0,0.0,0.0,,,107_02
馬公市,土地,山水南段554地號,53.31,,一般農業區,甲種建築用地,1070416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,208000,3902.0,,0.0,0,,RPPNMLLJNHNFFAX76CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市烏崁里１３２-１號,232.65,,一般農業區,甲種建築用地,1070412,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070123.0,296.11,8,2,9,有,無,9460000,31948.0,,0.0,0,,RPRNMLSJNHNFFAX77DA,285.18,10.93,0.0,,,107_02
湖西鄉,土地,西溪新段402地號,46.2,,鄉村區,乙種建築用地,1070416,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,190500,4123.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPQNMLLJNHNFFAX86CA,0.0,0.0,0.0,,,107_02
白沙鄉,土地,講美段692地號,204.01,,一般農業區,農牧用地,1070418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,420000,2059.0,,0.0,0,,RPSNMLLJNHNFFAX07CA,0.0,0.0,0.0,,,107_02
湖西鄉,土地,鼎灣新段607地號,32.41,,一般農業區,農牧用地,1070418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,138000,4258.0,,0.0,0,,RPPNMLMJNHNFFAX86CA,0.0,0.0,0.0,,,107_02
馬公市,土地,中衛段701-1地號,305.62,農,,,1070417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,12434.0,,0.0,0,,RPTNMLMLNHNFFAX47CA,0.0,0.0,0.0,,,107_02
馬公市,土地,中衛段728地號,42.58,農,,,1070413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,21137.0,,0.0,0,,RPUNMLMLNHNFFAX57CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市鎖管港１３０７號,73.09,住,,,1070416,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,681130.0,94.88,3,2,2,有,無,1400000,14755.0,,0.0,0,,RPRNMLRJNHNFFAX57CA,94.88,0.0,0.0,,,107_02
馬公市,土地,六合段210地號,726.52,,一般農業區,農牧用地,1070411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28600000,39366.0,,0.0,0,權利人為3人，興建共四戶，一戶為土地所有權人所有無買賣價格，申報含未來興建三戶之房屋價款。,RPQNMLSKNHNFFAX67CA,0.0,0.0,0.0,,,107_02
白沙鄉,土地,講美段693地號,562.34,,一般農業區,農牧用地,1070418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2720000,4837.0,,0.0,0,,RPRNMLLJNHNFFAX96CA,0.0,0.0,0.0,,,107_02
湖西鄉,土地,湖西南段643-1地號,23.55,,鄉村區,乙種建築用地,1070424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180000,7643.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPPNMLTJNHNFFAX67DA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市光明路３１號,71.0,商,,,1070402,土地1建物1車位0,一層，二層，三層，四層,四層,店面(店鋪),其他,鋼筋混凝土加強磚造,610206.0,253.92,7,3,4,有,無,25000000,98456.0,,0.0,0,住商用,RPSNMLOJNHNFFAX47DA,253.92,0.0,0.0,,,107_02
馬公市,土地,文東段1627-1地號,24.38,,一般農業區,甲種建築用地,1070416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,147400,6046.0,,0.0,0,親友間買賣親友、員工或其他特殊關係間之交易。；,RPQNMLOJNHNFFAX17CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物)+車位,澎湖縣馬公市貿商街１２７號二樓之五,26.91,住,,,1070404,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950629.0,179.64,3,1,2,有,有,3800000,21153.0,坡道平面,0.0,0,,RPTNMLLMNHNFFAX47CA,96.63,0.0,11.16,,,107_02
馬公市,土地,鐵線段474地號,213.7,,一般農業區,農牧用地,1070423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,570000,2667.0,,0.0,0,,RPVNMLOJNHNFFAX67CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市貿商街１２８號二樓之三,28.82,住,,,1070420,土地2建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950710.0,177.19,3,2,2,有,有,5480000,30927.0,,0.0,0,,RPQOMLNKNHOFFAX37CA,96.71,0.0,10.96,,,107_02
七美鄉,土地,大嶼段5032地號,999.5,,一般農業區,農牧用地,1070417,土地34建物0車位0,,,其他,,,,0.0,0,0,0,有,無,110000,110.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLOLNHNFFAX77CA,0.0,0.0,0.0,,,107_02
馬公市,土地,光榮段244地號,430.25,住,,,1070411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24720000,57455.0,,0.0,0,共有人間買賣案件,RPSNMLRJNHNFFAX67CA,0.0,0.0,0.0,,,107_02
馬公市,土地,北極段626地號,161.72,住,,,1070406,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,15459.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPQNMLTJNHNFFAX77DA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市文林街５０巷１號,64.91,住,,,1070417,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,670510.0,81.8,3,2,2,有,無,4000000,48900.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPPNMLKKNHNFFAX86DA,81.8,0.0,0.0,,,107_02
望安鄉,房地(土地+建物),澎湖縣望安鄉水垵１８４號,160.0,,一般農業區,甲種建築用地,1070419,土地1建物1車位0,全,一層,透天厝,住家用,造,260101.0,79.87,4,1,1,有,無,100000,1252.0,,0.0,0,含土地增值稅60377元.權利人三位共有親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPPNMLPKNHNFFAX37DA,79.87,0.0,0.0,,,107_02
湖西鄉,房地(土地+建物),澎湖縣湖西鄉港底３３０之７號,272.49,,一般農業區,甲種建築用地,1070413,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070124.0,322.84,6,2,5,有,無,9160000,28373.0,,0.0,0,,RPVNMLMLNHNFFAX77DA,291.9,30.94,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市文光路８號二樓,18.38,住,,,1070417,土地1建物1車位0,二層，三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,811202.0,140.55,2,2,2,有,有,4300000,30594.0,,0.0,0,,RPSNMLMKNHNFFAX27CA,110.37,0.0,0.0,,,107_02
馬公市,土地,東衛段1147-1地號,757.96,,鄉村區,乙種建築用地,1070416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13756800,18150.0,,0.0,0,,RPRNMLPKNHNFFAX47CA,0.0,0.0,0.0,,,107_02
湖西鄉,土地,龍門南段408-7地號,107.15,,一般農業區,農牧用地,1070301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,3733.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPWNMLMKLHNFFAX67EA,0.0,0.0,0.0,,,107_02
白沙鄉,土地,中屯新段1045地號,481.21,,鄉村區,乙種建築用地,1070305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,7897.0,,0.0,0,,RPPNMLOKLHNFFAX17EA,0.0,0.0,0.0,,,107_02
西嶼鄉,土地,池東段1305地號,82.84,,鄉村區,乙種建築用地,1070308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,281656,3400.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPPNMLPKLHNFFAX27EA,0.0,0.0,0.0,,,107_02
馬公市,土地,光榮段294地號,1222.34,,,,1070304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36303000,29700.0,,0.0,0,包含公共設施保留地之交易。,RPQNMLOKLHNFFAX07CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市朝陽路８６之１號三樓,22.17,住,,,1070302,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840715.0,70.13,1,1,1,有,無,2500000,35648.0,,0.0,0,,RPQNMLTJMHNFFAX57CA,51.72,0.0,6.15,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市後窟潭６之５０號,302.74,,一般農業區,甲種建築用地,1070301,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060822.0,357.62,7,1,8,有,無,11900000,33276.0,,0.0,0,土地增值稅權利人負擔,RPRNMLLKMHNFFAX07DA,343.21,14.41,0.0,,,107_02
馬公市,土地,六合段396地號,205.03,,一般農業區,農牧用地,1070305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16000000,78037.0,,0.0,0,農變建之起造人變更含未來興建房屋價款,RPRNMLRKLHNFFAX47CA,0.0,0.0,0.0,,,107_02
西嶼鄉,土地,橫礁段480地號,369.0,,鄉村區,乙種建築用地,1070312,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,4878.0,,0.0,0,包含土地增值稅,RPUNMLTKLHNFFAX08DA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市重光里後窟潭１０之３號,64.94,,鄉村區,乙種建築用地,1070312,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,820105.0,154.1,4,2,3,有,無,6000000,38936.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPQNMLMJMHNFFAX96DA,152.3,1.8,0.0,,,107_02
馬公市,房地(土地+建物)+車位,澎湖縣馬公市文山路２７巷８號四樓,33.67,住,,,1070302,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060328.0,164.67000000000002,3,2,2,有,無,7800000,50930.0,坡道平面,23.3,600000,權利人共二人,RPPNMLMLLHNFFAX86CA,88.1,12.94,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市大智街１８巷２０弄１號,44.0,商,,,1070301,土地1建物1車位0,全,四層,透天厝,其他,鋼筋混凝土造,690212.0,141.2,4,2,2,有,無,6960000,49292.0,,0.0,0,賣方賣清價,RPQNMLLLLHNFFAX86CA,141.2,0.0,0.0,,,107_02
馬公市,土地,四維段543地號,250.59,農,,,1070316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3032000,12099.0,,0.0,0,,RPPNMLQLLHNFFAX27CA,0.0,0.0,0.0,,,107_02
馬公市,土地,光華段223-1地號,2975.56,,一般農業區,農牧用地,1070314,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14400000,4839.0,,0.0,0,權利人共2位親友、員工或其他特殊關係間之交易。；,RPPNMLKLLHOFFAX76CA,0.0,0.0,0.0,,,107_02
湖西鄉,房地(土地+建物),澎湖縣湖西鄉良文港３６號,109.01,,鄉村區,乙種建築用地,1070315,土地1建物1車位0,全,一層,透天厝,住家用,造,30101.0,99.64,2,1,1,有,無,660000,6624.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPRNMLSLLHNFFAX77DA,99.64,0.0,0.0,,,107_02
馬公市,土地,五福段303地號,1348.15,,一般農業區,農牧用地,1070316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16600000,12313.0,,0.0,0,,RPPNMLRLLHNFFAX37CA,0.0,0.0,0.0,,,107_02
馬公市,土地,五福段1198地號,881.82,農,,,1070306,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6230000,7065.0,,0.0,0,,RPPNMLTLLHNFFAX57CA,0.0,0.0,0.0,,,107_02
馬公市,土地,鎖港南段886地號,124.78,住,,,1070302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,8415.0,,0.0,0,親友、員工或其他特殊關係間之交易。受債權債務影響或債務抵償之交易。親友、員工或其他特殊關係間之交易。；受債權債務影響或債務抵償之交易。；,RPRNMLTLLHNFFAX77CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物)+車位,澎湖縣馬公市朝陽路７５號四樓,28.51,住,,,1070320,土地4建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830509.0,169.63,3,2,2,有,有,5000000,29476.0,升降機械,0.0,0,,RPRNMLKKMHNFFAX86CA,114.66,20.58,0.0,,,107_02
馬公市,土地,雙湖段1109-4地號,1192.93,,一般農業區,農牧用地,1070312,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38088000,31928.0,,0.0,0,權利人共四人含未來興建四戶房屋價款,RPSNMLPLMHNFFAX57CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市鎖管港９９５號,89.31,住,,,1070314,土地1建物1車位0,全,三層,透天厝,其他,鋼筋混凝土造,840704.0,172.29,4,1,3,有,無,3200000,18573.0,,0.0,0,,RPTNMLNJMHNFFAX37DA,155.93,16.36,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市鎖管港１００３號,107.75,住,,,1070314,土地1建物1車位0,全,三層,透天厝,其他,鋼筋混凝土造,840704.0,193.52,4,1,3,有,無,3200000,16536.0,,0.0,0,,RPRNMLNJMHNFFAX17DA,182.36,11.16,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市鎖管港９９９號,80.41,住,,,1070314,土地1建物1車位0,全,三層,透天厝,其他,鋼筋混凝土造,840704.0,179.72,4,1,3,有,無,3430000,19085.0,,0.0,0,,RPSNMLNJMHNFFAX27DA,164.62,15.1,0.0,,,107_02
湖西鄉,土地,西溪新段812地號,228.88,,鄉村區,乙種建築用地,1070319,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,2185.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPTNMLKMLHNFFAX27DA,0.0,0.0,0.0,,,107_02
馬公市,土地,文東段1822地號,856.15,,一般農業區,農牧用地,1070307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11136800,13008.0,,0.0,0,,RPSNMLNLMHNFFAX37CA,0.0,0.0,0.0,,,107_02
白沙鄉,土地,通梁東段189地號,894.58,,一般農業區,農牧用地,1070320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,660000,738.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPRNMLSKMHNFFAX67CA,0.0,0.0,0.0,,,107_02
湖西鄉,土地,沙港北段519地號,40.02,,一般農業區,交通用地,1070326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,156078,3900.0,,0.0,0,協議價購 一般農業區交通用地,RPSNMLKMLHNFFAX07CA,0.0,0.0,0.0,,,107_02
湖西鄉,土地,城北段1369-3地號,786.99,,一般農業區,農牧用地,1070301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,1652.0,,0.0,0,受債權債務影響或債務抵償之交易。受債權債務影響或債務抵償之交易。；,RPPNMLMJMHNFFAX76CA,0.0,0.0,0.0,,,107_02
西嶼鄉,土地,池東段3497地號,1470.16,,一般農業區,農牧用地,1070321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2360000,1605.0,,0.0,0,,RPRNMLLMLHNFFAX07CA,0.0,0.0,0.0,,,107_02
馬公市,土地,文澳段2273地號,119.0,住,,,1070306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,43697.0,,0.0,0,,RPQNMLMKMHNFFAX96CA,0.0,0.0,0.0,,,107_02
馬公市,土地,東澳段125地號,123.56,住,,,1070315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9560000,77371.0,,0.0,0,,RPSNMLLMLHNFFAX17CA,0.0,0.0,0.0,,,107_02
湖西鄉,土地,城北段586地號,923.44,,一般農業區,農牧用地,1070306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1674000,1813.0,,0.0,0,,RPTNMLLMLHNFFAX37DA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市林森路１５巷５號之１二樓之１,9.32,住,,,1070315,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840707.0,27.06,1,1,1,有,無,1700000,62823.0,,0.0,0,套房格局,RPOOMLLLOHOFFAX27DA,22.36,0.0,2.28,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市光復路７８-３號,40.0,住,,,1070301,土地2建物2車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730629.0,82.11,3,1,2,有,有,3600000,43844.0,,0.0,0,,RPPNMLLJMHNFFAX66CA,81.81,0.0,0.0,,,107_02
白沙鄉,土地,下瓦硐段1362地號,1228.57,,一般農業區,農牧用地,1070328,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4208000,3425.0,,0.0,0,,RPUNMLKKMHNFFAX17CA,0.0,0.0,0.0,,,107_02
西嶼鄉,房地(土地+建物),澎湖縣西嶼鄉竹篙灣４５號,628.31,,鄉村區,遊憩用地,1070312,土地3建物1車位0,全,一層,透天厝,住家用,,760701.0,108.29,2,2,2,有,無,3800000,35091.0,,0.0,0,,RPSNMLKKMHNFFAX96CA,108.29,0.0,0.0,,,107_02
七美鄉,土地,七美一段1000地號,610.0,,風景區,農牧用地,1070326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,820.0,,0.0,0,,RPUNMLNLMHNFFAX57CA,0.0,0.0,0.0,,,107_02
馬公市,土地,鎖港南段550地號,39.88,住,,,1070316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,506476,12700.0,,0.0,0,向政府機關承購之案件。向政府機關承購之案件。；,RPPOMLKKMHNFFAX86DA,0.0,0.0,0.0,,,107_02
馬公市,土地,馬公段2476-8地號,6.0,商,,,1070308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,692580,115430.0,,0.0,0,向政府機關承購之案件。向政府機關承購之案件。；,RPSNMLLKMHNFFAX17DA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市文光路３５巷４-１號,134.01,住,,,1070312,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,670615.0,111.56,2,1,2,有,無,5300000,47508.0,,0.0,0,,RPQNMLRKMHNFFAX57DA,111.56,0.0,0.0,,,107_02
馬公市,土地,東衛段922地號,680.06,,鄉村區,乙種建築用地,1070310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,17646.0,,0.0,0,,RPVNMLKKMHNFFAX27CA,0.0,0.0,0.0,,,107_02
湖西鄉,建物,澎湖縣湖西鄉西溪１０５號,0.0,,,,1070316,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,1060316.0,21.11,4,2,2,有,無,60000,2842.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPOOMLKKMHNFFAX66CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市文化路中心巷５號,38.0,商,,,1070319,土地1建物1車位0,一層，二層,二層,店面(店鋪),其他,鋼筋混凝土加強空心磚造,510815.0,63.91,0,0,0,無,無,37000000,578939.0,,0.0,0,,RPQNMLNKMHNFFAX07CA,63.91,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市文化路中心巷７號,28.0,商,,,1070319,土地1建物1車位0,一層，二層,二層,店面(店鋪),其他,鋼筋混凝土加強空心磚造,510815.0,53.9,0,0,0,無,無,0,0.0,,0.0,0,價格記載於標的1,SPQNMLNKMHNFFAX17CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市民生路２０號,35.0,商,,,1070319,土地1建物1車位0,一層，二層,二層,店面(店鋪),其他,鋼筋混凝土加強空心磚造,510815.0,60.59,0,0,0,無,無,0,0.0,,0.0,0,價格記載於標的1,TPQNMLNKMHNFFAX27CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市民生路２２號,28.0,商,,,1070319,土地1建物1車位0,一層，二層,二層,店面(店鋪),其他,鋼筋混凝土加強空心磚造,510815.0,54.26,0,0,0,無,無,0,0.0,,0.0,0,價格記載於標的1,UPQNMLNKMHNFFAX37CA,0.0,0.0,0.0,,,107_02
馬公市,房地(土地+建物),澎湖縣馬公市鎖管港１３０６號,121.87,住,,,1070305,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,840703.0,255.49,5,2,3,有,無,2650000,10372.0,,0.0,0,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。；,RPUNMLLKMHNFFAX27CA,228.18,27.21,0.0,,,107_02
馬公市,土地,埕中段611地號,25.76,,,,1070331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1803200,70000.0,,0.0,0,協議價購,RPRNMLMKMHNFFAX07CA,0.0,0.0,0.0,,,107_02
湖西鄉,房地(土地+建物),澎湖縣湖西鄉林投８８之２號,96.2,,一般農業區,甲種建築用地,1070321,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,750420.0,96.0,3,1,2,有,無,2000000,20833.0,,0.0,0,,RPPNMLSKMHNFFAX47CA,96.0,0.0,0.0,,,107_02
馬公市,土地,馬公段275-1地號,11.0,,,,1070308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,876700,79700.0,,0.0,0,向政府機關承購之案件。向政府機關承購之案件。；,RPUNMLSKMHNFFAX97CA,0.0,0.0,0.0,,,107_02
馬公市,土地,中衛段1489地號,211.07,,一般農業區,農牧用地,1070315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6920000,32785.0,,0.0,0,,RPPNMLQKMHNFFAX27CA,0.0,0.0,0.0,,,107_02
馬公市,土地,五福段543地號,2492.4,,一般農業區,農牧用地,1070328,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34700000,13922.0,,0.0,0,,RPQNMLQKMHNFFAX37CA,0.0,0.0,0.0,,,107_02
湖西鄉,土地,許家段462-1地號,336.47,,一般農業區,甲種建築用地,1070327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,15455.0,,0.0,0,,RPRNMLRKMHNFFAX57CA,0.0,0.0,0.0,,,107_02
白沙鄉,土地,港子段1691地號,900.0,,一般農業區,農牧用地,1070313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,983000,1092.0,,0.0,0,,RPUNMLRKMHNFFAX87CA,0.0,0.0,0.0,,,107_02
西嶼鄉,房地(土地+建物),澎湖縣西嶼鄉小池角２之１６號,143.54,,一般農業區,甲種建築用地,1070330,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,920218.0,184.32,3,1,4,有,無,5100000,27669.0,,0.0,0,,RPQNMLTKMHNFFAX67CA,168.41,15.91,0.0,,,107_02
馬公市,土地,五福段891-2地號,582.26,,一般農業區,農牧用地,1070327,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13200000,22670.0,,0.0,0,,RPRNMLOJNHNFFAX27CA,0.0,0.0,0.0,,,107_02
