鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
關西鎮,土地,東安段804-32地號,2.42,其他,,,1041007,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,33058.0,,0.0,0,,RPPPMLMJJIKFFBJ77CA,0.0,0.0,0.0,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功六街２２７號六樓之一,37.51,住,,,1041007,土地1建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980113.0,259.79999999999995,4,2,2,有,有,14600000,56197.0,坡道平面,65.02,0,,RPUTMLNJJIKFFBJ78CA,120.37,8.82,8.95,,,105_01
竹北市,房地(土地+建物),新竹縣竹北市光明二街84巷66號,79.4,住,,,1040920,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,880901.0,226.25,5,2,3,有,無,13330000,58917.0,,0.0,0,,RPRNMLOJJIKFFBJ97CA,196.74,29.51,0.0,,,105_01
竹北市,車位,新竹縣竹北市六家五路一段２31號等共用部分,0.0,,,,1041001,土地0建物0車位1,,,其他,,,,12.29,0,0,0,有,有,530000,,坡道機械,12.29,530000,,RPTOMLOJJIKFFBJ28CA,0.0,0.0,0.0,,,105_01
竹北市,車位,新竹縣竹北市六家五路一段231號等共用部分,0.0,,,,1041001,土地0建物0車位1,,,其他,,,,12.29,0,0,0,有,有,350000,,坡道機械,12.29,350000,,RPUOMLOJJIKFFBJ38CA,0.0,0.0,0.0,,,105_01
新埔鎮,土地,義民段1737地號,533.12,,特定農業區,甲種建築用地,1040930,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,11255.0,,0.0,0,,RPVOMLOJJIKFFBJ48CA,0.0,0.0,0.0,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東二段４６０號十三樓之二,50.97,商,,,1041002,土地1建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991230.0,474.9,4,2,4,有,有,39880000,83976.0,坡道平面,86.46,0,,RPQNMLPJJIKFFBJ97CA,246.93,7.4,21.68,,,105_01
新埔鎮,土地,福德段188-1地號,89.74,住,,,1040917,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2508660,27955.0,,0.0,0,,RPRNMLPJJIKFFBJ08CA,0.0,0.0,0.0,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐十一路二段127巷3號七樓,50.5,住,,,1040916,土地1建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000531.0,332.07,4,2,2,有,有,21200000,63842.0,坡道平面,0.0,0,,RPTOMLPJJIKFFBJ38CA,166.29,9.9,18.07,,,105_01
竹北市,房地(土地+建物),新竹縣竹北市縣政一街１２３號五樓之五,9.25,住,,,1041012,土地1建物1車位0,五層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,890906.0,32.26,1,1,1,有,有,1500000,46497.0,,0.0,0,,RPOQMLQJJIKFFBJ18CA,20.91,0.0,0.0,,,105_01
新埔鎮,房地(土地+建物),新竹縣新埔鎮楊新路一段１３１巷１弄３號,114.85,住,,,1041012,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,960604.0,176.37,4,3,4,有,無,7800000,44225.0,,0.0,0,,RPWNMLKKJIKFFBJ18CA,168.89,0.0,7.48,,,105_01
竹北市,房地(土地+建物),新竹縣竹北市博愛街513號五樓之五,2.86,商,,,1041016,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810731.0,26.13,0,0,0,無,有,1200000,45924.0,,0.0,0,共有人2人親友、員工或其他特殊關係間之交易。,RPWNMLMKJIKFFBJ38CA,18.84,0.0,0.0,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路２７０號六樓,14.34,商,,,1010708,土地1建物1車位1,六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040417.0,181.45,3,2,2,有,有,11350000,68227.0,坡道平面,29.75,1000000,,RPROMLMKJIKFFBJ97CA,93.97,0.0,9.83,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路２６８號二十四樓,15.33,商,,,1021106,土地1建物1車位2,二十四層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040417.0,212.21,3,2,2,有,有,13250000,71377.0,坡道平面,59.5,2350000,,RPSOMLMKJIKFFBJ08CA,95.02,0.0,9.54,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路２６８號八樓,14.34,商,,,1010719,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040417.0,182.41,3,2,2,有,有,10680000,63405.0,坡道平面,29.75,1000000,,RPTOMLMKJIKFFBJ18CA,95.02,0.0,9.54,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路２６６號二十八樓,15.33,商,,,1020917,土地1建物1車位2,二十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040417.0,210.17,3,2,2,有,有,13500000,74335.0,坡道平面,59.5,2300000,,RPVOMLMKJIKFFBJ38CA,94.57,0.0,8.56,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政八街６８巷5號五樓及1號,25.44,住,,,1040924,土地1建物2車位2,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960731.0,306.69,4,2,2,有,有,15700000,51193.0,坡道平面,0.0,0,,RPWNMLQKJIKFFBJ78CA,150.98,5.39,18.91,,,105_01
竹北市,房地(土地+建物),新竹縣竹北市縣政三街２５號六樓之二,16.34,商,,,1041004,土地2建物2車位0,六層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,,91.16,2,2,2,有,無,1530000,16784.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLSKJIKFFBJ58CA,61.92,0.0,0.0,,,105_01
竹北市,房地(土地+建物),新竹縣竹北市新溪街２９２巷６６弄１２號,153.67,,特定農業區,甲種建築用地,1041013,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1031229.0,456.27,5,3,7,有,無,21000000,46025.0,,0.0,0,,RPQNMLKLJIKFFBJ67CA,431.64,0.0,24.63,,,105_01
竹東鎮,房地(土地+建物),新竹縣竹東鎮自由街１２０巷１０號十樓之１,8.24,住,,,1040926,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851224.0,51.59,2,1,1,有,有,2000000,38767.0,,0.0,0,,RPOOMLLJKIKFFCJ67CA,32.93,0.42,3.56,,,105_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉中山路一段１３２號五樓之３２,8.86,,特定農業區,甲種建築用地,1041024,土地0建物1車位0,五層,六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,960228.0,23.76,1,1,1,有,有,1700000,71549.0,,0.0,0,,RPPNMLNJJIKFFDJ87CA,20.16,3.6,0.0,,,105_01
湖口鄉,土地,竹九段1471-8地號,1011.88,,一般農業區,農牧用地,1041022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5505000,5440.0,,0.0,0,,RPRNMLNJJIKFFDJ08CA,0.0,0.0,0.0,,,105_01
湖口鄉,土地,竹九段1471-9地號,1011.88,,一般農業區,農牧用地,1041022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5505000,5440.0,,0.0,0,,RPSNMLNJJIKFFDJ18CA,0.0,0.0,0.0,,,105_01
湖口鄉,土地,光華段942-6地號,43.68,住,,,1041016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2480587,56790.0,,0.0,0,承購國有地,RPRNMLOJJIKFFDJ18CA,0.0,0.0,0.0,,,105_01
新豐鄉,房地(土地+建物),新竹縣新豐鄉康泰路256之3號9樓,10.69,住,,,1041003,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,931108.0,81.83,2,2,1,有,有,4500000,54992.0,,0.0,0,,RPPOMLSKJIKFFDJ58CA,55.26,1.36,6.04,,,105_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉德和路７６巷４２弄８號三樓,48.06,,鄉村區,乙種建築用地,1041004,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,891123.0,130.41,4,2,2,有,有,4000000,30672.0,,0.0,0,,RPRNMLPLJIKFFDJ48CA,99.81,0.0,9.47,,,105_01
竹北市,土地,縣華段672地號,119.68,住,,,1041001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11379892,95086.0,,0.0,0,向政府機關承購之案件。,RPPNMLOJJIKFFBJ87DA,0.0,0.0,0.0,,,105_01
關西鎮,土地,錦山段166-8地號,157.0,,山坡地保育區,農牧用地,1041020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,308701,1966.0,,0.0,0,親友間買賣,RPSOMLQJJIKFFBJ48DA,0.0,0.0,0.0,,,105_01
竹東鎮,土地,柯子湖段37-2地號,42.83,工,,,1040823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,227537,5313.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVOMLKKJIKFFCJ38DA,0.0,0.0,0.0,,,105_01
竹東鎮,土地,油林段195-8地號,24.0,住,,,1041006,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3350000,139583.0,,0.0,0,含增建或未登記建物。,RPWPMLKKJIKFFCJ58DA,0.0,0.0,0.0,,,105_01
竹東鎮,土地,油林段195-8地號,24.0,住,,,1041006,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3350000,139583.0,,0.0,0,含增建或未登記建物。,RPWNMLMKJIKFFCJ58DA,0.0,0.0,0.0,,,105_01
竹北市,房地(土地+建物),新竹縣竹北市文信路１３５號,84.65,住,,,1040815,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,931213.0,337.39,5,4,5,有,無,29300000,86843.0,,0.0,0,,RPVNMLPJJIKFFBJ58DA,267.6,30.95,38.84,,,105_01
竹北市,房地(土地+建物),新竹縣竹北市文義街２５７號,117.3,住,,,1040926,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,920310.0,367.67,5,3,5,有,無,28990000,78848.0,,0.0,0,,RPWNMLPJJIKFFBJ68DA,303.78,9.37,37.37,,,105_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉錦州三街９０號,99.0,,工業區,丁種建築用地,1041004,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,960706.0,424.55,20,0,20,有,無,14200000,33447.0,,0.0,0,,RPPNMLMLJIKFFDJ97CA,351.25,29.92,43.38,,,105_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉中山五街６７號,105.17,住,,,1041026,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030405.0,198.04,3,2,3,有,無,13980000,70592.0,,0.0,0,,RPWNMLRLJIKFFDJ56CA,183.68,0.0,14.36,,,105_01
新豐鄉,土地,褔龍段407地號,379.0,,特定農業區,農牧用地,1040910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,606400,1600.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLKLJIKFFDJ77CA,0.0,0.0,0.0,,,105_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉明賢路３８１巷１０號,102.12,,特定農業區,甲種建築用地,1041026,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040514.0,199.77,5,2,4,有,無,8000000,40046.0,,0.0,0,,RPWNMLOJJIKFFDJ68CA,192.1,0.0,7.67,,,105_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉蘭州二街64號,68.0,,工業區,丁種建築用地,1041001,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,811121.0,146.89,4,2,3,有,無,6370000,43366.0,,0.0,0,,RPOOMLOJJIKFFDJ97CA,126.65,10.55,9.69,,,105_01
新豐鄉,土地,福陽段753地號,584.43,,鄉村區,乙種建築用地,1040921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30500000,52188.0,,0.0,0,,RPSOMLOJJIKFFDJ38CA,0.0,0.0,0.0,,,105_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉錦州二街２５號,79.0,,工業區,丁種建築用地,1041019,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,811204.0,164.57,4,2,3,有,無,7000000,42535.0,,0.0,0,,RPUNMLTJJIKFFDJ98CA,147.45,2.72,14.4,,,105_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉龍江街１９６號二樓,29.75,住,,,1041014,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,70.83,3,2,2,有,無,2800000,39531.0,,0.0,0,,RPQNMLNJJIKFFDJ97CA,70.83,0.0,0.0,,,105_01
湖口鄉,土地,興湖段593地號,20.0,住,,,1041027,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,877200,43860.0,,0.0,0,,RPQNMLOJJIKFFDJ18DA,0.0,0.0,0.0,,,105_01
寶山鄉,房地(土地+建物),新竹縣寶山鄉寶新路三段１１號,2600.0,,特定農業區,農牧用地,1041007,土地1建物1車位0,全,三層,透天厝,農舍,鋼筋混凝土造,951218.0,490.95,4,2,3,有,無,19670000,40065.0,,0.0,0,,RPVPMLLJKIKFFCJ48CA,448.77,0.0,42.18,,,105_01
五峰鄉,土地,花園段807地號,4471.0,,山坡地保育區,農牧用地,1040825,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,145.0,,0.0,0,,RPPOMLKMJIKFFCJ87CA,0.0,0.0,0.0,,,105_01
寶山鄉,土地,雞油凸段三叉凸小段394-4地號,8200.0,,山坡地保育區,農牧用地,1041013,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24800000,3024.0,,0.0,0,,RPUNMLLJKIKFFCJ18CA,0.0,0.0,0.0,,,105_01
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮中興路二段１５２巷３７弄６號五樓,33.24,,特定農業區,甲種建築用地,1041009,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,890427.0,132.57999999999998,3,2,2,有,無,4500000,33942.0,其他,0.0,0,,RPVNNLPJJIKFFCJ68CA,75.34,0.0,8.97,,,105_01
竹東鎮,土地,二重埔段310-36地號,879.0,農,,,1041001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3850000,4380.0,,0.0,0,,RPVNMLQJJIKFFCJ68CA,0.0,0.0,0.0,,,105_01
橫山鄉,土地,田寮段202地號,3386.94,,山坡地保育區,農牧用地,1041029,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6100000,1801.0,,0.0,0,,RPUOMLTJJIKFFCJ98CA,0.0,0.0,0.0,,,105_01
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮中興路二段１５２巷３５弄１１號３樓,42.56,,特定農業區,甲種建築用地,1040928,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,890427.0,159.84,4,2,2,有,無,6300000,39414.0,坡道平面,0.0,0,,RPRPMLMKJIKFFCJ18CA,98.54,0.0,9.29,,,105_01
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮三重一路７7號三樓,26.82,住,,,1040924,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830107.0,156.91,3,2,2,有,有,4500000,28679.0,坡道平面,0.0,0,,RPWPMLMKJIKFFCJ68CA,83.44,0.0,9.25,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路一段５３５號八樓,51.28,住,,,1041007,土地1建物1車位2,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011030.0,300.76,4,2,2,有,有,23000000,79151.0,坡道平面,48.08,3000000,,RPSNMLKLJIKFFBJ87CA,160.38,6.73,8.18,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興一路８６號１６樓,27.25,商,,,1021127,土地1建物1車位2,十六層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031203.0,297.63,4,2,2,有,有,17200000,64807.0,坡道平面,60.0,1800000,,RPWNMLTKJIKFFBJ09CA,140.18,8.75,13.12,,,105_01
竹北市,房地(土地+建物),新竹縣竹北市縣政九路１５５號７樓之１,15.79,商,,,1041004,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830208.0,107.0,3,2,2,有,有,5600000,52336.0,,0.0,0,,RPPPMLMKJIKFFBJ87CA,78.27,0.96,7.28,,,105_01
關西鎮,土地,新城段210-1地號,352.25,,山坡地保育區,農牧用地,1040830,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,399455,1134.0,,0.0,0,,RPRQMLLKJIKFFBJ08CA,0.0,0.0,0.0,,,105_01
關西鎮,土地,新城段780-1地號,704.5,,山坡地保育區,農牧用地,1040830,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,798942,1134.0,,0.0,0,,RPSQMLLKJIKFFBJ18CA,0.0,0.0,0.0,,,105_01
關西鎮,土地,新城段780-1地號,4000.17,,山坡地保育區,農牧用地,1040830,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4536439,1134.0,,0.0,0,,RPPNMLMKJIKFFBJ67CA,0.0,0.0,0.0,,,105_01
關西鎮,土地,新城段780-1地號,352.25,,山坡地保育區,農牧用地,1040830,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,399455,1134.0,,0.0,0,,RPQNMLMKJIKFFBJ77CA,0.0,0.0,0.0,,,105_01
關西鎮,土地,新城段780-1地號,345.79,,山坡地保育區,農牧用地,1040830,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,392126,1134.0,,0.0,0,,RPRNMLMKJIKFFBJ87CA,0.0,0.0,0.0,,,105_01
關西鎮,土地,新城段780地號,345.79,,山坡地保育區,農牧用地,1040830,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,392126,1134.0,,0.0,0,,RPSNMLMKJIKFFBJ97CA,0.0,0.0,0.0,,,105_01
關西鎮,土地,新城段209-1地號,368.64,,山坡地保育區,農牧用地,1040817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1624700,4407.0,,0.0,0,,RPQNMLLKJIKFFBJ67CA,0.0,0.0,0.0,,,105_01
關西鎮,土地,新城段774-1地號,997.93,,山坡地保育區,林業用地,1040817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4398246,4407.0,,0.0,0,,RPRNMLLKJIKFFBJ77CA,0.0,0.0,0.0,,,105_01
竹北市,土地,竹北段511地號,77.35,住,,,1041013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2339811,30250.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLLKJIKFFBJ57CA,0.0,0.0,0.0,,,105_01
竹北市,土地,竹北段511地號,5.2,住,,,1041013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,157300,30250.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPOMLLKJIKFFBJ67CA,0.0,0.0,0.0,,,105_01
竹北市,土地,溝貝段478地號,3636.0,,特定農業區,農牧用地,1040905,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34096590,9378.0,,0.0,0,,RPRPMLTJJIKFFBJ68CA,0.0,0.0,0.0,,,105_01
竹北市,土地,溝貝段593地號,2095.0,,特定農業區,農牧用地,1040905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16495515,7874.0,,0.0,0,,RPSPMLTJJIKFFBJ78CA,0.0,0.0,0.0,,,105_01
竹北市,房地(土地+建物),新竹縣竹北市光明六路東二段２５８之１號六樓之一,12.5,商,,,1041019,土地1建物2車位0,六層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,980121.0,92.96,2,1,1,有,有,7550000,81226.0,,0.0,0,,RPVOMLQJJIKFFBJ68CA,40.15,5.28,0.0,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東一段２９６之１號二十樓,26.29,商,,,1041015,土地1建物1車位1,二十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960528.0,319.65,2,1,3,有,有,17000000,53182.0,坡道平面,0.0,0,,RPTNMLPJJIKFFBJ28CA,160.2,8.28,21.79,,,105_01
新埔鎮,房地(土地+建物),新竹縣新埔鎮田新里義民路一段８０巷２０弄６號,88.49,住,,,1041014,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040515.0,248.45,3,3,3,有,無,10350000,41658.0,,0.0,0,,RPQPMLOJJIKFFBJ08CA,220.89,20.36,7.2,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興一街１２號六樓,35.78,住,,,1041010,土地1建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010625.0,237.83,4,2,2,有,有,13670000,57478.0,坡道平面,64.18,0,,RPRQMLOJJIKFFBJ28CA,103.3,7.78,7.45,,,105_01
竹北市,土地,貓兒錠段拔子窟小段694地號,51.0,,特定農業區,農牧用地,1041019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,232500,4559.0,,0.0,0,,RPRPMLPLJIKFFBJ48CA,0.0,0.0,0.0,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興一路９６號１７樓,22.66,商,,,1040709,土地1建物1車位2,十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031203.0,260.57,4,2,2,有,有,14200000,61824.0,坡道平面,60.0,1800000,,RPVOMLPLJIKFFBJ78CA,116.58,8.85,11.38,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段87號七樓,52.75,住,,,1041020,土地1建物1車位2,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040702.0,331.29,3,2,3,有,有,20090000,60642.0,坡道平面,86.7,0,,RPUNMLOLJIKFFBJ48CA,149.17,0.0,22.03,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段87號十樓,52.75,住,,,1041020,土地1建物1車位2,十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040702.0,331.29,3,2,3,有,有,20740000,62604.0,坡道平面,86.7,0,,RPVNMLOLJIKFFBJ58CA,149.17,0.0,22.03,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段87號十六樓,52.77,住,,,1041020,土地1建物1車位3,十六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040702.0,374.64,3,2,3,有,有,23000000,61392.0,坡道平面,130.05,0,,RPWNMLOLJIKFFBJ68CA,149.17,0.0,22.03,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段２０８號七樓之一,24.65,住,,,1041008,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980504.0,167.24,3,2,2,有,有,9600000,57403.0,坡道平面,0.0,0,,RPROMLPJJIKFFBJ18CA,87.03,5.45,3.8,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市台科路６０號６樓,30.75,住,,,1040927,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001013.0,181.14,3,2,2,有,有,12100000,66799.0,坡道平面,0.0,0,,RPRNMLRJJIKFFBJ28CA,102.55,4.22,7.13,,,105_01
關西鎮,土地,錦山段116-232地號,1985.5,,山坡地保育區,農牧用地,1041021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,252.0,,0.0,0,,RPQOMLLKJIKFFBJ77CA,0.0,0.0,0.0,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興一街６號十樓,27.08,住,,,1040926,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010625.0,184.22,3,2,2,有,有,12700000,68939.0,坡道平面,32.08,0,,RPTPMLMKJIKFFBJ28CA,86.77,9.05,6.95,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興一路９８號７樓,23.16,商,,,1010909,土地1建物1車位1,七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031203.0,232.99,4,2,2,有,有,12650000,57885.0,坡道平面,30.0,900000,,RPVNMLTKJIKFFBJ98CA,119.25,8.5,10.84,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐五路二段１３６號二樓,40.04,住,,,1041007,土地1建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040624.0,250.67,3,2,2,有,有,16500000,65824.0,坡道平面,43.7,0,,RPROMLNLJIKFFBJ18CA,122.42,2.19,16.79,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐五路二段１３６號三樓,36.07,住,,,1041007,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040624.0,225.65,3,2,2,有,有,16000000,70906.0,坡道平面,18.88,0,,RPSOMLNLJIKFFBJ28CA,122.42,4.64,14.14,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐五路二段１３６號四樓,40.04,住,,,1041007,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040624.0,250.47,3,2,2,有,有,16280000,64998.0,坡道平面,43.7,0,,RPTOMLNLJIKFFBJ38CA,122.42,4.64,14.14,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家八街６９號五樓,33.59,住,,,1041007,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040624.0,211.13,3,2,2,有,有,14500000,68678.0,坡道平面,21.85,0,,RPUOMLNLJIKFFBJ48CA,111.42,3.65,14.19,,,105_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家八街６９號十樓,37.08,住,,,1041007,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040624.0,232.99,3,2,2,有,有,15530000,66655.0,坡道平面,43.7,0,,RPVOMLNLJIKFFBJ58CA,111.42,3.65,14.19,,,105_01
竹北市,土地,東興段510地號,271.0,住,,,1040809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26640000,98303.0,,0.0,0,,RPTPMLQKJIKFFBJ68CA,0.0,0.0,0.0,,,105_01
